latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.97,143.859,330.6,1.1,1.1,2020-01-12,00:30,T,59,6.0NRT,304.5,20.5,D
-18.392,145.394,324.9,1,1,2020-01-12,00:30,T,51,6.0NRT,305.2,8.1,D
-18.39,145.385,337,1,1,2020-01-12,00:30,T,82,6.0NRT,307,23.4,D
-18.383,145.396,331.2,1,1,2020-01-12,00:30,T,73,6.0NRT,307.8,15.6,D
-18.381,145.386,337.8,1,1,2020-01-12,00:30,T,83,6.0NRT,309.5,24.4,D
-18.329,145.401,347.3,1,1,2020-01-12,00:30,T,92,6.0NRT,307.5,41.7,D
-18.279,145.321,335.7,1,1,2020-01-12,00:30,T,81,6.0NRT,311.9,18.5,D
-18.278,145.311,328.3,1,1,2020-01-12,00:30,T,56,6.0NRT,310.3,7.9,D
-17.993,144.03,332.9,1.1,1.1,2020-01-12,00:30,T,71,6.0NRT,308.7,17.2,D
-17.99,144.075,327.4,1.1,1.1,2020-01-12,00:30,T,48,6.0NRT,308.1,8.4,D
-17.986,144.054,331.6,1.1,1.1,2020-01-12,00:30,T,64,6.0NRT,310.9,14.2,D
-17.985,144.043,345.4,1.1,1.1,2020-01-12,00:30,T,89,6.0NRT,311.3,41.1,D
-17.983,144.032,356.5,1.1,1.1,2020-01-12,00:30,T,97,6.0NRT,311.2,71.5,D
-17.095,144.925,326.6,1.1,1,2020-01-12,00:30,T,56,6.0NRT,308.6,10.1,D
-17.071,144.774,347.5,1.1,1,2020-01-12,00:30,T,92,6.0NRT,308.2,46,D
-16.921,143.943,335,1.2,1.1,2020-01-12,00:30,T,77,6.0NRT,313.4,13.2,D
-16.919,143.932,341.7,1.2,1.1,2020-01-12,00:30,T,86,6.0NRT,313.2,27.3,D
-16.908,143.922,339.3,1.2,1.1,2020-01-12,00:30,T,84,6.0NRT,311.9,22.4,D
-16.904,143.9,359.3,1.2,1.1,2020-01-12,00:30,T,99,6.0NRT,312.1,80.6,D
-17.031,144.76,330.6,1.1,1,2020-01-12,00:30,T,31,6.0NRT,313.2,13.5,D
-16.809,145.234,334.4,1.1,1,2020-01-12,00:30,T,65,6.0NRT,311.5,15.3,D
-16.808,145.224,340.7,1.1,1,2020-01-12,00:30,T,84,6.0NRT,312.8,26.4,D
-16.8,145.235,335,1.1,1,2020-01-12,00:30,T,67,6.0NRT,312,16.1,D
-16.799,145.226,335,1.1,1,2020-01-12,00:30,T,43,6.0NRT,313.6,16.4,D
-16.794,145.196,334.3,1.1,1,2020-01-12,00:30,T,69,6.0NRT,311.3,19.8,D
-16.739,145.131,331.7,1.1,1,2020-01-12,00:30,T,54,6.0NRT,308.8,16.5,D
-16.737,145.121,333.2,1.1,1,2020-01-12,00:30,T,54,6.0NRT,308,17.7,D
-16.681,145.12,336.6,1.1,1,2020-01-12,00:30,T,76,6.0NRT,309.6,20.1,D
-16.187,143.97,342.2,1.2,1.1,2020-01-12,00:30,T,87,6.0NRT,306.9,41.5,D
-16.186,143.958,326.9,1.2,1.1,2020-01-12,00:30,T,22,6.0NRT,305,13.5,D
-16.105,144.798,326.7,1.1,1,2020-01-12,00:30,T,61,6.0NRT,307.6,8.9,D
-16.044,144.752,334,1.1,1.1,2020-01-12,00:30,T,68,6.0NRT,310.3,17,D
-17.081,144.773,335.6,1.1,1,2020-01-12,00:30,T,77,6.0NRT,308,23.2,D
-17.098,144.884,355.7,1.1,1,2020-01-12,00:30,T,97,6.0NRT,307.2,70.2,D
-17.099,144.894,365.9,1.1,1,2020-01-12,00:30,T,100,6.0NRT,310.7,100.3,D
-17.087,144.776,326.2,1.1,1,2020-01-12,00:30,T,29,6.0NRT,306.8,10.5,D
-17.103,144.877,323.3,1.1,1,2020-01-12,00:30,T,27,6.0NRT,305.5,9.6,D
-17.105,144.887,328.6,1.1,1,2020-01-12,00:30,T,56,6.0NRT,308.3,14.9,D
-17.113,144.876,332.3,1.1,1,2020-01-12,00:30,T,72,6.0NRT,304.9,21.3,D
-17.114,144.886,334.5,1.1,1,2020-01-12,00:30,T,72,6.0NRT,306.5,23.3,D
-17.122,144.935,333.6,1.1,1,2020-01-12,00:30,T,79,6.0NRT,308.1,19.9,D
-17.128,144.914,328.2,1.1,1,2020-01-12,00:30,T,53,6.0NRT,307.1,12.8,D
-17.136,144.902,336,1.1,1,2020-01-12,00:30,T,82,6.0NRT,306.9,26,D
-17.674,143.977,336.5,1.2,1.1,2020-01-12,00:30,T,79,6.0NRT,311.4,20.8,D
-17.77,143.876,332.7,1.2,1.1,2020-01-12,00:30,T,72,6.0NRT,310.9,11.8,D
-17.772,143.887,345.4,1.2,1.1,2020-01-12,00:30,T,89,6.0NRT,310.6,38.8,D
-17.774,143.898,332.7,1.2,1.1,2020-01-12,00:30,T,68,6.0NRT,308.7,14.6,D
-17.774,143.88,339.5,1.2,1.1,2020-01-12,00:30,T,82,6.0NRT,310.8,25.4,D
-17.775,143.891,339.5,1.2,1.1,2020-01-12,00:30,T,82,6.0NRT,309.7,26.2,D
-17.855,144.077,330.8,1.1,1.1,2020-01-12,00:30,T,42,6.0NRT,309.8,12.3,D
-18.056,144.768,350.3,1.1,1,2020-01-12,00:30,T,94,6.0NRT,314.9,45.3,D
-17.978,144.028,352.7,1.1,1.1,2020-01-12,00:30,T,95,6.0NRT,309.1,60.1,D
-17.98,144.039,351.9,1.1,1.1,2020-01-12,00:30,T,94,6.0NRT,310.6,56.7,D
-17.982,144.05,339.3,1.1,1.1,2020-01-12,00:30,T,82,6.0NRT,310.1,25.6,D
-17.981,144.021,328.7,1.1,1.1,2020-01-12,00:30,T,57,6.0NRT,306.9,10.4,D
-18.27,145.318,342.2,1,1,2020-01-12,00:30,T,88,6.0NRT,312,28.8,D
-19.884,144.201,350.1,1.1,1,2020-01-12,00:30,T,79,6.0NRT,294.6,52.3,D
-20.446,148.288,325.1,1.1,1.1,2020-01-12,00:30,T,43,6.0NRT,300.5,10.7,D
-37.071,149.603,320.2,2.2,1.4,2020-01-12,00:35,T,80,6.0NRT,278.2,53.9,D
-36.757,146.739,314.3,1.5,1.2,2020-01-12,00:35,T,58,6.0NRT,286.2,19.7,D
-36.755,146.724,312.3,1.5,1.2,2020-01-12,00:35,T,40,6.0NRT,287.9,15.9,D
-36.754,146.71,357.1,1.5,1.2,2020-01-12,00:35,T,98,6.0NRT,294.5,132.4,D
-37.376,149.218,315.7,2.1,1.4,2020-01-12,00:35,T,57,6.0NRT,272,41.1,D
-35.827,137.421,322.7,1.4,1.2,2020-01-12,00:35,T,44,6.0NRT,306.8,11.2,D
-37.399,149.025,313.1,2.1,1.4,2020-01-12,00:35,T,73,6.0NRT,274.8,37.2,D
-37.254,147.272,304.9,1.6,1.2,2020-01-12,00:35,T,49,6.0NRT,286,12.1,D
-35.962,137.034,325.4,1.4,1.2,2020-01-12,00:35,T,52,6.0NRT,307.8,13.5,D
-35.965,137.05,360.7,1.4,1.2,2020-01-12,00:35,T,100,6.0NRT,311.7,121.9,D
-35.975,137.047,333.4,1.4,1.2,2020-01-12,00:35,T,83,6.0NRT,305.9,28.8,D
-37.504,147.506,303.8,1.7,1.3,2020-01-12,00:35,T,29,6.0NRT,278.5,12.4,D
-37.945,146.816,305.9,1.5,1.2,2020-01-12,00:35,T,7,6.0NRT,286.4,5.9,D
-36.752,146.696,334,1.5,1.2,2020-01-12,00:35,T,87,6.0NRT,293,52.8,D
-35.747,137.434,324.8,1.4,1.2,2020-01-12,00:35,T,75,6.0NRT,308.6,11,D
-35.777,137.363,340.5,1.4,1.2,2020-01-12,00:35,T,90,6.0NRT,306.4,46.6,D
-35.78,137.378,324.4,1.4,1.2,2020-01-12,00:35,T,56,6.0NRT,306.7,12.2,D
-37.348,149.036,300.6,2.1,1.4,2020-01-12,00:35,T,38,6.0NRT,273.4,16.6,D
-37.377,149.222,313.2,2.1,1.4,2020-01-12,00:35,T,47,6.0NRT,272.1,34.1,D
-36.729,146.58,309.7,1.4,1.2,2020-01-12,00:35,T,39,6.0NRT,288.6,11.9,D
-37.37,149.148,301.9,2.1,1.4,2020-01-12,00:35,T,30,6.0NRT,271.4,16.1,D
-36.719,146.583,311,1.4,1.2,2020-01-12,00:35,T,40,6.0NRT,289.5,12.9,D
-36.805,148.141,305.6,1.8,1.3,2020-01-12,00:35,T,24,6.0NRT,273.2,14.5,D
-37.35,149.053,302.8,2.1,1.4,2020-01-12,00:35,T,40,6.0NRT,272.4,18.3,D
-37.336,149.71,319.6,2.3,1.5,2020-01-12,00:35,T,75,6.0NRT,280.4,48.8,D
-36.862,146.77,310.7,1.5,1.2,2020-01-12,00:35,T,53,6.0NRT,288.3,15,D
-37.065,149.35,309,2.1,1.4,2020-01-12,00:35,T,44,6.0NRT,270.7,26,D
-36.84,146.876,322.5,1.5,1.2,2020-01-12,00:35,T,77,6.0NRT,287.4,33.2,D
-36.838,146.861,346.3,1.5,1.2,2020-01-12,00:35,T,94,6.0NRT,290.8,95.1,D
-37.069,149.578,318.8,2.2,1.4,2020-01-12,00:35,T,77,6.0NRT,277.8,50,D
-37.34,149.716,315.4,2.3,1.5,2020-01-12,00:35,T,49,6.0NRT,278.9,33.5,D
-37.278,149.44,315.2,2.2,1.4,2020-01-12,00:35,T,0,6.0NRT,268.1,45.3,D
-37.256,149.17,308.1,2.1,1.4,2020-01-12,00:35,T,54,6.0NRT,275.7,26.3,D
-35.813,137.409,331.8,1.4,1.2,2020-01-12,00:35,T,84,6.0NRT,306.6,26,D
-36.265,147.972,321.8,1.7,1.3,2020-01-12,00:35,T,68,6.0NRT,274.2,32.2,D
-36.263,147.955,319.7,1.7,1.3,2020-01-12,00:35,T,48,6.0NRT,276.8,26.1,D
-36.127,148.505,319.2,1.8,1.3,2020-01-12,00:35,T,62,6.0NRT,280.3,35,D
-35.871,148.097,312.4,1.7,1.3,2020-01-12,00:35,T,35,6.0NRT,281.2,14.7,D
-35.87,148.079,334.2,1.7,1.3,2020-01-12,00:35,T,85,6.0NRT,282.4,66.8,D
-35.879,148.898,317.5,1.9,1.4,2020-01-12,00:35,T,67,6.0NRT,286.1,33,D
-35.797,148.72,320.6,1.9,1.3,2020-01-12,00:35,T,40,6.0NRT,287.6,33.7,D
-31.179,149.24,334.7,1.8,1.3,2020-01-12,00:35,T,63,6.0NRT,303.1,49.6,D
-31.156,149.243,333.4,1.8,1.3,2020-01-12,00:35,T,70,6.0NRT,302.5,46.9,D
-31.154,149.225,334.3,1.8,1.3,2020-01-12,00:35,T,77,6.0NRT,304.4,48.9,D
-28.125,150.69,326.7,2,1.4,2020-01-12,00:35,T,62,6.0NRT,300,26.8,D
-28.124,150.696,326.9,2,1.4,2020-01-12,00:35,T,64,6.0NRT,298.2,25.9,D
-36.743,146.71,337.4,1.5,1.2,2020-01-12,00:35,T,89,6.0NRT,289.5,64.5,D
-36.731,146.598,314.4,1.4,1.2,2020-01-12,00:35,T,61,6.0NRT,290,17.7,D
-37.293,149.8,319.6,2.3,1.5,2020-01-12,00:35,T,48,6.0NRT,281.9,46.9,D
-37.262,149.567,326,2.2,1.4,2020-01-12,00:35,T,75,6.0NRT,272.9,74.1,D
-37.257,149.858,324.2,2.3,1.5,2020-01-12,00:35,T,63,6.0NRT,281.2,66.9,D
-37.255,149.831,310.2,2.3,1.5,2020-01-12,00:35,T,47,6.0NRT,282.8,25.5,D
-36.98,146.689,313,1.5,1.2,2020-01-12,00:35,T,57,6.0NRT,287.9,17.7,D
-37.26,149.836,321.9,2.3,1.5,2020-01-12,00:35,T,49,6.0NRT,282.1,54.7,D
-36.935,146.603,314.2,1.5,1.2,2020-01-12,00:35,T,43,6.0NRT,291.1,16.6,D
-37.173,149.256,322.5,2.1,1.4,2020-01-12,00:35,T,82,6.0NRT,271.9,63.4,D
-36.912,146.59,312.5,1.4,1.2,2020-01-12,00:35,T,27,6.0NRT,291,13.5,D
-37.174,149.952,338.5,2.3,1.5,2020-01-12,00:35,T,79,6.0NRT,283.6,130.4,D
-37.172,149.925,332.5,2.3,1.5,2020-01-12,00:35,T,83,6.0NRT,284.6,100.9,D
-37.151,149.636,313,2.2,1.4,2020-01-12,00:35,T,0,6.0NRT,273,39.3,D
-36.886,146.882,309.6,1.5,1.2,2020-01-12,00:35,T,37,6.0NRT,290,13.1,D
-37.177,149.932,331,2.3,1.5,2020-01-12,00:35,T,63,6.0NRT,284,86.7,D
-36.868,146.62,313.9,1.5,1.2,2020-01-12,00:35,T,10,6.0NRT,291.8,14,D
-36.884,146.872,310.7,1.5,1.2,2020-01-12,00:35,T,63,6.0NRT,289.5,16.4,D
-36.857,146.621,318,1.5,1.2,2020-01-12,00:35,T,57,6.0NRT,291.3,19.8,D
-41.617,147.831,314.8,2,1.4,2020-01-12,00:40,T,45,6.0NRT,291.5,26.7,D
-41.628,147.804,314.3,1.9,1.4,2020-01-12,00:40,T,12,6.0NRT,291.2,26.3,D
-41.619,147.856,323.9,2,1.4,2020-01-12,00:40,T,73,6.0NRT,295,47,D
-39.525,175.026,312.9,3.6,1.8,2020-01-12,01:35,A,65,6.0NRT,294.4,60.8,D
-39.535,175.023,313.3,3.6,1.8,2020-01-12,01:35,A,67,6.0NRT,294.4,62.8,D
-21.458,114.988,313.9,1.9,1.3,2020-01-12,02:10,T,60,6.0NRT,291.8,22.1,D
-16.748,129.64,325.3,2.6,1.6,2020-01-12,02:10,T,33,6.0NRT,295.2,35.3,D
-16.759,129.613,334.1,2.6,1.6,2020-01-12,02:10,T,82,6.0NRT,294.5,81.6,D
-16.762,129.638,339.9,2.6,1.6,2020-01-12,02:10,T,87,6.0NRT,295,123.3,D
-16.752,129.632,330.9,2.6,1.6,2020-01-12,02:10,T,78,6.0NRT,294.3,66.8,D
-16.766,129.63,342.4,2.6,1.6,2020-01-12,02:10,T,89,6.0NRT,295.2,141.5,D
-20.42,116.939,310.2,1.4,1.2,2020-01-12,02:10,T,30,6.0NRT,290.9,9.5,D
-21.461,115.006,314.1,1.9,1.3,2020-01-12,02:10,T,60,6.0NRT,291.3,22.5,D
-32.68,122.093,336.3,1.3,1.1,2020-01-12,02:15,T,81,6.0NRT,311.5,22.9,D
-32.488,121.322,328.9,1.2,1.1,2020-01-12,02:15,T,53,6.0NRT,311.2,11.5,D
-32.487,121.309,338.8,1.2,1.1,2020-01-12,02:15,T,83,6.0NRT,311.3,30.3,D
-32.704,122.118,387.3,1.3,1.1,2020-01-12,02:15,T,100,6.0NRT,305.4,260.1,D
-32.703,122.104,342.2,1.3,1.1,2020-01-12,02:15,T,66,6.0NRT,306.1,45.6,D
