latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.629,133.428,311.2,1.1,1,2020-01-20,0120,T,47,6.0NRT,295.2,6,D
-12.28,136.808,352.3,1.1,1,2020-01-20,0120,T,96,6.0NRT,303.7,58.7,D
-12.281,136.817,337.3,1.1,1,2020-01-20,0120,T,85,6.0NRT,303.2,27.6,D
-12.171,134.554,324.5,1,1,2020-01-20,0120,T,59,6.0NRT,301.5,13.3,D
-12.371,132.811,320.5,1.2,1.1,2020-01-20,0120,T,67,6.0NRT,297.2,9.8,D
-14.858,135.354,325.3,1,1,2020-01-20,0120,T,26,6.0NRT,301.8,10.5,D
-14.646,132.556,408.7,1.1,1.1,2020-01-20,0120,T,87,6.0NRT,301.4,352,D
-14.648,132.567,377.1,1.1,1.1,2020-01-20,0120,T,94,6.0NRT,298,152.5,D
-14.656,132.555,356.4,1.1,1.1,2020-01-20,0120,T,98,6.0NRT,297.8,73.5,D
-14.658,132.565,331.1,1.1,1.1,2020-01-20,0120,T,78,6.0NRT,297.2,18.3,D
-14.79,133.172,332.7,1.1,1,2020-01-20,0120,T,60,6.0NRT,296.7,18.3,D
-14.81,133.071,325.3,1.1,1,2020-01-20,0120,T,32,6.0NRT,297.9,12,D
-15.357,133.203,328.3,1,1,2020-01-20,0120,T,28,6.0NRT,301.1,15.3,D
-41.294,174.003,312.1,1,1,2020-01-20,0220,A,63,6.0NRT,302,8.5,D
-20.482,116.608,313.3,2.7,1.6,2020-01-20,0300,T,16,6.0NRT,298.5,25.5,D
-21.461,115,314.6,2.1,1.4,2020-01-20,0300,T,62,6.0NRT,299.4,22.5,D
-22.566,115.757,331.5,2.5,1.5,2020-01-20,0300,T,74,6.0NRT,306.7,38.9,D
-23.015,115.502,330.2,2.4,1.5,2020-01-20,0300,T,54,6.0NRT,304.6,39.8,D
-23.028,115.501,337.8,2.4,1.5,2020-01-20,0300,T,81,6.0NRT,304,77.7,D
-23.031,115.524,334.1,2.4,1.5,2020-01-20,0300,T,76,6.0NRT,301.3,59.8,D
-34.535,116.678,312.4,3.9,1.8,2020-01-20,0305,T,41,6.0NRT,300.8,55.8,D
-28.708,148.091,330.4,1,1,2020-01-20,0405,A,42,6.0NRT,310.3,6.5,D
-28.422,148.624,334.5,1.1,1,2020-01-20,0405,A,68,6.0NRT,315.2,9.9,D
-28.338,148.33,333.2,1.1,1,2020-01-20,0405,A,63,6.0NRT,311.3,8.8,D
